TYPE,NAME,ADDRESS,COMM_CODE
Indoor Pool,Foothills Pool,2915 24 AV NW,UOC
Recycle Depot,Forest Lawn,3330 17 AV SE,ALB
Athletic Park,Forest Lawn Athletic Park,4808 14 AV SE,FLN
Outdoor Pool,Forest Lawn Outdoor Pool,1706 39 ST SE,FLN
Golf Course,Fox Hollow Golf Course,999 32 AV NE,WIN
Arena,Frank McCool Arena,1900 LAKE BONAVISTA DR SE,LKB
Athletic Park,Frank McCool Athletic Park,1900 LAKE BONAVISTA DR SE,LKB
Off Leash Dog Area,GLAMORGAN,4015 37 ST SW,GLA
Off Leash Dog Area,GLENBROOK,3312 SARCEE TR SW,GBK
Off Leash Dog Area,GREENVIEW,302 GRIER AV NE,GRV
Golf Course,Glencoe Golf & Country Club,636 29 AV SW,EPK
Athletic Park,Glenmore Athletic Park,5300 19 ST SW,GPK
Recycle Depot,Glenmore Landing,1600 90 AV SW,BYV
City Park,Glenmore Park (North),7305 24 ST SW,GPK
City Park,Glenmore Park (South),90 AV SW & 24 ST SW,GPK
Indoor Pool,Glenmore Pool,5330 19 ST SW,GPK
City Park,Griffith Woods Natural Park,36 DISCOVERY RIDGE BV SW,DIS
Off Leash Dog Area,HAWKWOOD,100R HAWKWOOD HL NW,HAW
Off Leash Dog Area,HAWKWOOD,15R HAWKHILL ME NW,HAW
Off Leash Dog Area,HAWKWOOD,21 HAWKWOOD HL NW,HAW
Off Leash Dog Area,HAWKWOOD,432R HAWKVIEW MANOR CI NW,HAW
Off Leash Dog Area,HAYSBORO,328 HADDON RD SW,HAY
Off Leash Dog Area,HAYSBORO,1439 HERITAGE DR SW,HAY
Off Leash Dog Area,HIDDEN VALLEY,9900 HIDDEN VALLEY DR NW,HID
Off Leash Dog Area,HIDDEN VALLEY,110R HIDDEN CREEK RD NW,HID
Off Leash Dog Area,HIGHLAND PARK,4307 EDMONTON TR NE,HPK
Off Leash Dog Area,HOUNSFIELD HEIGHTS/BRIAR HILL,1015 14 ST NW,HOU
Off Leash Dog Area,HUNTINGTON HILLS,8031 HUNTERVIEW DR NW,HUN
Off Leash Dog Area,HUNTINGTON HILLS,1135 78 AV NW,HUN
Off Leash Dog Area,STRATHCONA PARK,111 STRATTON CR SW,STR
Off Leash Dog Area,SUNALTA,2024 PUMPHOUSE AV SW,SNA
Off Leash Dog Area,SUNALTA,815 14 ST SW,SNA
Off Leash Dog Area,SUNNYSIDE,550 9 AV NW,SSD
City Park,Sandy Beach,4500 14A ST SW,ALT
